"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Delta our bag didn't get transferred and we aren't able to pick it up anymore how do we get it shipped to us??
#sos #help",FALSE,0,"Delta",2017-03-24 23:59:59,FALSE,NA,"845424990476480512","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","what_the_helen_",0,FALSE,FALSE,NA,NA
"2","Inspiring concert supporting #DeltaBC athletes returns April 8! Details on The Best We Can Be in @DeltaOptimist: https://t.co/VqLQRKtopD",FALSE,5,NA,2017-03-24 23:59:46,FALSE,NA,"845424934641811456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sobcsociety",5,FALSE,FALSE,NA,NA
"3","Get you a Delta and boss your life up.",FALSE,52,NA,2017-03-24 23:59:29,FALSE,NA,"845424865712771072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","justbeing_TEE",54,FALSE,FALSE,NA,NA
"4","During the work this week in the Delta-01 garage, it began to look a lot like Christmas. Hidden… https://t.co/o7G9Yco6d5",FALSE,1,NA,2017-03-24 23:59:29,FALSE,NA,"845424863959441409",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MIMI_Ranger",0,FALSE,FALSE,NA,NA
"5","@Delta swim lanes a TERRIBLE customer experience. As a Skymiles member I am rethinking my loyalty. So should you, rethink this.",FALSE,0,"Delta",2017-03-24 23:59:21,FALSE,NA,"845424830413504514","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2knowlisa",0,FALSE,FALSE,NA,NA
"6","@silenceladus 
Don't work to hard : )

Colorado River Delta .
Near San Felipe, Baja, Mexico, 201. ©Edward Burtynsky https://t.co/qHcYIKWdCP",FALSE,1,"silenceladus",2017-03-24 23:59:21,FALSE,NA,"845424829801074689","349960565","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","carlyebaines",0,FALSE,FALSE,NA,NA
"7","@Delta Question: can I add my TSA pre-check number after I already bought my tickets?",FALSE,0,"Delta",2017-03-24 23:59:12,FALSE,NA,"845424792526376960","5920532","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mtn_Bikr_X",0,FALSE,FALSE,NA,NA
"8","Downchild - Down In The Delta",FALSE,0,NA,2017-03-24 23:58:16,FALSE,NA,"845424558358347777",NA,"<a href=""https://radio.co"" rel=""nofollow"">Radio.co now playing</a>","CanRootsRadio",0,FALSE,FALSE,NA,NA
"9","@DeltaAssist @delta struggling to check in online for my flight to LAX from San Diego tomorrow call not answered please help <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00AB>",FALSE,0,"MelanieBundock",2017-03-24 23:58:13,FALSE,"845421248452558848","845424546727444480","252744096","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MelanieBundock",0,FALSE,FALSE,NA,NA
"10","This is how far Ghana has come. Being ruled by the mob of Delta Force - a pro NPP militia... Gud 9t. https://t.co/DrEVatcnL0",FALSE,1,NA,2017-03-24 23:58:00,FALSE,NA,"845424489429008384",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Mikafui1984",1,FALSE,FALSE,NA,NA
"11","Enter to win a Delta Vacations trip to visit the set of When Calls the Heart to meet the cast!  https://t.co/kvDRti7rwl",FALSE,0,NA,2017-03-24 23:57:57,FALSE,NA,"845424477127225349",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pbbearclaw",0,FALSE,FALSE,NA,NA
"12","@Delta thank you. So let's maybe help Neil of DL2070 with additional training in how to treat people.",FALSE,0,"Delta",2017-03-24 23:57:36,FALSE,"845124591282339840","845424390128910337","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katiebird17",0,FALSE,FALSE,NA,NA
