"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","First time flying @SpiritAirlines, delayed, and all I get is a $7 meal voucher. That won't cover anything at @DFWAirport. Never fly again.",FALSE,1,NA,2017-04-01 23:58:08,FALSE,NA,"848323626030034945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bharper89",0,FALSE,FALSE,NA,NA
"2","@SpiritAirlines I've been sitting on this plane for almost an hour because the gates are full. What kind of coordination is this? #iwantoff",FALSE,0,"SpiritAirlines",2017-04-01 23:54:16,FALSE,NA,"848322654964768768","21964954","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ApplePL4",0,FALSE,FALSE,NA,NA
"3","@SpiritAirlines terrible time w your customer service! Left folks in ATL lost our bag and none of your staff is helping! No clothes=no fun!",FALSE,0,"SpiritAirlines",2017-04-01 23:41:08,FALSE,NA,"848319347571478528","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pow16",0,FALSE,FALSE,NA,NA
"4","@SpiritAirlines love the email deals; don't have a Twitter. More people screenshot snapchats of them than my sunsets - Kevin Bacon",FALSE,0,"SpiritAirlines",2017-04-01 23:36:51,FALSE,NA,"848318271384432640","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lizzsmithh1",0,FALSE,FALSE,NA,NA
"5","@SpiritAirlines We had to rearrange our hotel at Disney after our canceled flight. Cost us $300 to rebook hotel and I have a sad 7 year old",FALSE,0,"SpiritAirlines",2017-04-01 23:21:51,FALSE,"847821517677309956","848314497949458432","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","reneekoch84",0,FALSE,FALSE,NA,NA
"6","@SpiritAirlines My first flight was delayed by 3 hours. Then after my second flight my luggage was lost. I'm never flying spirit again",FALSE,0,"SpiritAirlines",2017-04-01 23:08:53,FALSE,NA,"848311233321345024","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MehulGu35987481",0,FALSE,FALSE,NA,NA
"7","blows my mind that i can never fly @SpiritAirlines without getting pissed off",FALSE,0,NA,2017-04-01 23:06:07,FALSE,NA,"848310538153197568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thatsgroTEPH",0,FALSE,FALSE,NA,NA
"8","@SpiritAirlines @MyrtleBeachAir was awful! Told my daughter, flying w/baby to carry a heavy seat to the gate. Said ""fly or don't fly"" <ed><U+00A0><U+00BD><ed><U+00B8><U+00A5>",FALSE,0,"SpiritAirlines",2017-04-01 22:54:11,FALSE,NA,"848307534448472066","21964954","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ltholcombe",0,FALSE,FALSE,NA,NA
"9","@mbcasey29 @tjcorbett7 @SpiritAirlines Hi, if you need assistance please send us a direct message, thanks!",FALSE,0,"mbcasey29",2017-04-01 22:51:03,FALSE,"848305420976492544","848306745915174912","533863976","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kiwicom247",0,FALSE,FALSE,NA,NA
"10","@tjcorbett7 @SpiritAirlines @kiwicom247 TCDNLkiwi",FALSE,0,"tjcorbett7",2017-04-01 22:45:47,FALSE,"848266496073715716","848305420976492544","264004377","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mbcasey29",0,FALSE,FALSE,NA,NA
"11","@SpiritAirlines created two different accounts with my email and never told me. Now says: miles expired &amp; won't give them back
#badSPIRIT ?",FALSE,0,"SpiritAirlines",2017-04-01 22:23:52,FALSE,NA,"848299904682393604","21964954","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AdithyaDahagama",0,FALSE,FALSE,NA,NA
"12","@SpiritAirlines You sent an email one minute before gate closed saying my flight was back on time. Missed my flight… https://t.co/DGfiBqoeIL",FALSE,0,"SpiritAirlines",2017-04-01 22:23:37,TRUE,NA,"848299842719895553","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rmjasurda",0,FALSE,FALSE,NA,NA
"13","Our #travelinlemon is about to get on a @SpiritAirlines flight to Orlando for the senior trip! Where should they go… https://t.co/iYEXfvnlvt",FALSE,7,NA,2017-04-01 21:58:50,TRUE,NA,"848293604091187200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FRC5113",1,FALSE,FALSE,NA,NA
"14",".@SpiritAirlines Next flight costs more! What u gonna do? That's what I call customer service?",FALSE,0,"JeffreyWeil1",2017-04-01 21:48:36,FALSE,"848290445226639361","848291027974795266","848288593135243264","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JeffreyWeil1",0,FALSE,FALSE,NA,NA
"15",".@SpiritAirlines you cancelled my ticket cuz of some cc issue never notified me &amp; Amex says they authorized it  Might not make my surgery !!",FALSE,0,NA,2017-04-01 21:46:17,FALSE,NA,"848290445226639361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JeffreyWeil1",0,FALSE,FALSE,NA,NA
"16","thanks for canceling our flight @SpiritAirlines !!we then had to drive to ohio and get a connecting flight we are now missing, thanks again<ed><U+00A0><U+00BD><ed><U+00B9><U+0084>",FALSE,1,NA,2017-04-01 21:36:01,FALSE,NA,"848287863682760704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taymarie45",0,FALSE,FALSE,NA,NA
"17","@spiritairlines bumped fam off plane; refused to retrieve luggage. #springbrek ruined. #spiritair stinks.",FALSE,0,"SpiritAirlines",2017-04-01 20:51:47,FALSE,NA,"848276729160486915","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarshaPund",0,FALSE,FALSE,NA,NA
"18","Dear @SpiritAirlines why was I charged 2x for bags today.AND why different amounts? $155 at RSW and $100 at MSP. Same bags. MSP discount?",FALSE,0,NA,2017-04-01 20:38:59,FALSE,NA,"848273508392210432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tjcorbett7",0,FALSE,FALSE,NA,NA
"19","Have never met client facing agents of a company with more of a can't do attitude than @SpiritAirlines.",FALSE,0,NA,2017-04-01 20:19:13,FALSE,NA,"848268533750538242",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tjcorbett7",0,FALSE,FALSE,NA,NA
"20","@tjcorbett7 @SpiritAirlines Please send us a message, let us see if we can help, thank you.",FALSE,0,"tjcorbett7",2017-04-01 20:15:46,FALSE,"848266496073715716","848267666527858689","264004377","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kiwicom247",0,FALSE,FALSE,NA,NA
"21",".@SpiritAirlines Not to make this all about the awful service at Spirit (the stewardess was v nice) but it definite… https://t.co/zoYruaR4L2",FALSE,2,"jessichunat",2017-04-01 20:14:36,TRUE,"848267111105429508","848267372804833281","325097586","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jessichunat",0,FALSE,FALSE,NA,NA
"22",".@SpiritAirlines Flight scheduled to leave at 7am, got delayed to 10, 10.30 flight got delayed to 12.30, luggage to… https://t.co/VBGZ0f8g6R",FALSE,1,"jessichunat",2017-04-01 20:13:33,TRUE,"848266235393585153","848267111105429508","325097586","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jessichunat",0,FALSE,FALSE,NA,NA
"23","If you are flying @SpiritAirlines  and connecting in MSP please give yourself a reasonable 4-5 hours connection time in order to be safe",FALSE,0,NA,2017-04-01 20:13:03,FALSE,NA,"848266984634691584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tjcorbett7",0,FALSE,FALSE,NA,NA
"24","Public service announcement: don't book a flight on @SpiritAirlines ever, but especially don't if you are using @kiwicom247",FALSE,1,NA,2017-04-01 20:11:07,FALSE,NA,"848266496073715716",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tjcorbett7",0,FALSE,FALSE,NA,NA
"25","After an agonizing, unnecessarily long 12 hour journey (thanks @SpiritAirlines ), we're finally back from Disney<ed><U+00A0><U+00BD><ed><U+00B8><U+008A>",FALSE,3,NA,2017-04-01 20:10:05,FALSE,NA,"848266235393585153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jessichunat",0,FALSE,FALSE,NA,NA
"26","Have spent 2 hours speaking to @SpiritAirlines check in staff today at 2 different airports. Don't think I'll be flying them again.",FALSE,0,NA,2017-04-01 20:09:55,FALSE,NA,"848266193295335425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tjcorbett7",0,FALSE,FALSE,NA,NA
"27","@SpiritAirlines is telling me I didn't pay the bag fee on our original flight this morning. Then how did they get from RSW to MSP.",FALSE,0,"SpiritAirlines",2017-04-01 20:07:16,FALSE,NA,"848265528980508673","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tjcorbett7",0,FALSE,FALSE,NA,NA
"28","Why doesn't @SpiritAirlines keep a supervisor at the front check in desk of MSP to help make decisions.",FALSE,0,NA,2017-04-01 20:06:20,FALSE,NA,"848265292463714304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tjcorbett7",0,FALSE,FALSE,NA,NA
"29","On @SpiritAirlines
Passengers in #EmergencyExit Row look unable to help themselves up a flight of stairs!… https://t.co/VTp9njWTbN",FALSE,0,NA,2017-04-01 20:02:01,TRUE,NA,"848264207426605058",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","John_Westra",0,FALSE,FALSE,NA,NA
"30","I've never seen a less empowered airline check in desk than the team at MSP @SpiritAirlines. Three times today they had to call a supervisor",FALSE,0,NA,2017-04-01 20:00:45,FALSE,NA,"848263886738513920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tjcorbett7",0,FALSE,FALSE,NA,NA
"31","If @SpiritAirlines can't handle reservations from @kiwicom247 in their system then they should stop accepting them.",FALSE,0,NA,2017-04-01 19:59:18,FALSE,NA,"848263522337382404",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tjcorbett7",0,FALSE,FALSE,NA,NA
"32","@jetblue officially the biggest joke of an airline, you make @SpiritAirlines look like first class",FALSE,0,"JetBlue",2017-04-01 19:50:58,FALSE,NA,"848261424946327553","6449282","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SushiLasagna",0,FALSE,FALSE,NA,NA
"33","@SpiritAirlines I'm flying with you guys next weekend but can't find a dog sitter, can I bring my dog @PacerWoodss ?? Please he's my baby!!!",FALSE,0,"SpiritAirlines",2017-04-01 19:33:13,FALSE,NA,"848256956859125762","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emmywoodss",0,FALSE,FALSE,NA,NA
"34","@SpiritAirlines Hey guys any chance I could get free tickets to fly down to Florida to surprise my GF with her dog?? <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6> <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6>",FALSE,0,"SpiritAirlines",2017-04-01 19:33:05,FALSE,NA,"848256924814585856","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Toe_Knee18",0,FALSE,FALSE,NA,NA
"35","For #aprilfoolsday, @SpiritAirlines decided to cancel my family's flight. Pretty good one.",FALSE,2,NA,2017-04-01 19:08:58,FALSE,NA,"848250855195377664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BestLAHeadshots",0,FALSE,FALSE,NA,NA
"36","Get in ahead of coming storm at @Arapahoe_Basin, flights from $178 from Chicago, others, on @SpiritAirlines!  https://t.co/VDl3QFaRjZ",FALSE,0,NA,2017-04-01 19:00:38,FALSE,NA,"848248759872049152",NA,"<a href=""https://zrankings.com"" rel=""nofollow"">ZRankings</a>","zranks",0,FALSE,FALSE,NA,NA
"37","@SpiritAirlines hard to put into words how much I regret booking a flight with you.",FALSE,0,"SpiritAirlines",2017-04-01 18:53:41,FALSE,NA,"848247010251726848","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jtramsay",0,FALSE,FALSE,NA,NA
"38","@SpiritAirlines Do you plan on eventually reopening LAX/PHX route? I'd book a flight right now!",FALSE,0,"SpiritAirlines",2017-04-01 18:47:38,FALSE,"847837321877745664","848245486171467776","21964954","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amandasolum",0,FALSE,FALSE,NA,NA
