"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","90% of the time I leave my house, I wear leggings. 100% of the time I fly, I wear leggings. Thankfully I fly @SouthwestAir &amp; NOT @united <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>",FALSE,0,NA,2017-03-26 19:40:13,FALSE,NA,"846084394800570369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nikkizimmermann",0,FALSE,FALSE,NA,NA
"2","@SouthwestAir once just ONCE, I would like to get on one of your flights and have there be no bullshit!!!! #dobetter",FALSE,0,"SouthwestAir",2017-03-26 19:39:13,FALSE,NA,"846084142198611968","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pawla_0",0,FALSE,FALSE,NA,NA
"3","WTF?  Seriously @united ? This is why I fly @SouthwestAir and @Delta https://t.co/IFwvcalieH",FALSE,0,NA,2017-03-26 19:39:06,FALSE,NA,"846084113186484224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bellecocomom",0,FALSE,FALSE,NA,NA
"4","@LillyRockwell @SouthwestAir They said so! Of course my dad was equally sure it was his fault. All nice adults :)",FALSE,0,"LillyRockwell",2017-03-26 19:38:10,FALSE,"846081806118113281","846083875692593154","14109677","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EricaGrieder",0,FALSE,FALSE,NA,NA
"5","And thank you @SouthwestAir @Allegiant @JetBlue for letting me fly in my leggings &amp; ripped jeans! https://t.co/h1LRsOuOgr",FALSE,0,NA,2017-03-26 19:37:56,FALSE,NA,"846083817995616256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nicurnmama",0,FALSE,FALSE,NA,NA
"6","@theEthanKrane Haha, Ethan! As long as the boarding process isn’t impeded, you can always save a seat for your friend. ^SH",FALSE,0,"theEthanKrane",2017-03-26 19:37:25,FALSE,"846078615175512065","846083690375499776","24609852","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","SouthwestAir",0,FALSE,FALSE,NA,NA
"7","I just got round trip tickets from #Den to #Dal with early bird check in for $108 on @SouthwestAir. #awesome",FALSE,0,NA,2017-03-26 19:37:16,FALSE,NA,"846083651104206848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SMLawit",0,FALSE,FALSE,NA,NA
"8","@SouthwestAir I did!",FALSE,0,"SouthwestAir",2017-03-26 19:37:16,FALSE,"845996303901376513","846083650320060416","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nerdstatus88",0,FALSE,FALSE,NA,NA
"9","@SouthwestAir smh you haven't even got the bags off yet and we still ""on time"". Just admit this flight is delayed l… https://t.co/e5qrsRDdBK",FALSE,0,"SouthwestAir",2017-03-26 19:35:38,TRUE,NA,"846083238690881536","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rockthekazbot",0,FALSE,FALSE,NA,NA
"10","@d0mocracy Our Team is good! We appreciate the recognition. ^WB",FALSE,0,"d0mocracy",2017-03-26 19:35:35,FALSE,"846082335057629184","846083228830093312","42942982","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","SouthwestAir",0,FALSE,FALSE,NA,NA
