"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@SpiritAirlines. RUDE flight attendant on flight 248. Orlando to MSP. Never flying with you again. $12/hr power!",FALSE,1,"SpiritAirlines",2017-03-16 23:57:00,FALSE,NA,"842525136502841344","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mary_breiter",0,FALSE,FALSE,NA,NA
"2","@SpiritAirlines please tell flight attendants not to turn on lights at 11PM to hawk Spirit credit cards.  Very disruptive. #noOneCares",FALSE,0,"SpiritAirlines",2017-03-16 23:53:50,FALSE,NA,"842524340122013697","21964954","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yankees_suck",0,FALSE,FALSE,NA,NA
"3","Listened to music from a phone the entire flight: 251 Cle-ATL. Attendants did nothing! No courtesy unacceptable Never again @SpiritAirlines",FALSE,0,NA,2017-03-16 23:34:42,FALSE,NA,"842519522791870465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DawgsPaw",0,FALSE,FALSE,NA,NA
"4","@drunkdogmom @SpiritAirlines fuck all of this. Someone better be going to jail.",FALSE,1,"drunkdogmom",2017-03-16 23:34:05,FALSE,"842453326142808065","842519368353435648","741320506658291714","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrittinieAlcorn",0,FALSE,FALSE,NA,NA
"5","Thank you @SpiritAirlines for stranding my underage niece in Florida by cancelling her flight and saying she did it. Stellar Cust Srvc <ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>",FALSE,0,NA,2017-03-16 21:56:23,FALSE,NA,"842494783004299264",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","Shipwreck85",0,FALSE,FALSE,NA,NA
"6","@SpiritAirlines grandfather dies and I have to reschedule my flight to make his funeral to a new flight that is the same amount of money",FALSE,0,"shaunpratt22",2017-03-16 21:44:35,FALSE,"842486800962617344","842491812107304962","3101697174","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shaunpratt22",0,FALSE,FALSE,NA,NA
"7","Love you @SpiritAirlines",FALSE,0,NA,2017-03-16 21:39:20,FALSE,NA,"842490489584672768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Anna_h20s",1,FALSE,FALSE,NA,NA
"8","@SpiritAirlines 5 mins late so you guys can't check in a customer at the airport??You guys suck.Taking my business elsewhere forever!",FALSE,0,"SpiritAirlines",2017-03-16 21:33:35,FALSE,NA,"842489044915359744","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","g_fring100",0,FALSE,FALSE,NA,NA
"9","#FamilyTravel Without Breaking The Bank! Get #MoreGo from @SpiritAirlines. #sponsored https://t.co/i9eVqnBKwm via @irkedmommy",FALSE,1,NA,2017-03-16 21:27:20,FALSE,NA,"842487469668933632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","3sonshavei",2,FALSE,FALSE,NA,NA
"10","@SpiritAirlines why did my carry on cost as much as my flight lmk",FALSE,0,"SpiritAirlines",2017-03-16 21:22:55,FALSE,NA,"842486360162361344","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SKYEfullostars",0,FALSE,FALSE,NA,NA
"11","@Djmansfi77 Hi Darren, Please DM us your reservation info so we can take a closer look into this for you.",FALSE,0,"Djmansfi77",2017-03-16 21:17:29,FALSE,"842062426145210369","842484990906519552","45863619","<a href=""http://www.lithium.com"" rel=""nofollow"">Lithium Tech</a>","SpiritAirlines",0,FALSE,FALSE,NA,NA
"12",".@SpiritAirlines and now you email me $50 in Spirit vouchers? No thanks, please keep your shitty airline far away from me",FALSE,1,"Karina_Young",2017-03-16 20:41:34,FALSE,"842458848275251200","842475954425364480","102557926","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Karina_Young",0,FALSE,FALSE,NA,NA
"13","@SpiritAirlines first time flyer w u today. AWESOME SERVICE. early arrival times on each leg. I will fly w u again",FALSE,0,"SpiritAirlines",2017-03-16 20:40:29,FALSE,NA,"842475682357743616","21964954","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sweepsJen",0,FALSE,FALSE,NA,NA
"14",". @SpiritAirlines @PHLAirport why is spirit #309 delayed 4 hours and they gave no reason for the delay?",FALSE,0,NA,2017-03-16 20:16:03,FALSE,NA,"842469531658379267",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Brandon_RK",0,FALSE,FALSE,NA,NA
