"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@SouthwestAir seriously can you tell me why a dog costs 95 dollars to go under a seat.  It costs you nothing vs a carry on.  #Scam",FALSE,0,"SouthwestAir",2017-03-31 23:58:12,FALSE,NA,"847961255176536065","7212562","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JohnDoolish",0,FALSE,FALSE,NA,NA
"2","@SouthwestAir lost luggage and this is all I have to wear for the weekend in Raleigh - need help locating https://t.co/2GJuWKrWmr",FALSE,0,"SouthwestAir",2017-03-31 23:52:21,FALSE,NA,"847959785383370752","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GARYBOGDON",0,FALSE,FALSE,NA,NA
"3","@SouthwestAir is there a certain dress code I need to worry about before my flight to Phx tomorrow?",FALSE,0,"SouthwestAir",2017-03-31 23:51:44,FALSE,NA,"847959630026346496","7212562","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","iamkristiekay",0,FALSE,FALSE,NA,NA
"4","@MarkWBennett @bmaz @SouthwestAir @united Knock on wood, I've traveled SWA a ton, never have an issue, never paid for bags, a place for legs",FALSE,0,"MarkWBennett",2017-03-31 23:48:11,FALSE,"847954562233368578","847958734915735553","14674729","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","StephStradley",0,FALSE,FALSE,NA,NA
"5","On hold for over an hour and they close at 6 pm @SouthwestAir your customer service and satisfaction is awful, never flying with you again!!",FALSE,0,NA,2017-03-31 23:41:54,FALSE,NA,"847957153906397184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lisamason6L",0,FALSE,FALSE,NA,NA
"6","@SouthwestAir What is the toll free number for booking. I keep getting rerouted on line to other places",FALSE,0,"SouthwestAir",2017-03-31 23:39:07,FALSE,NA,"847956451767324675","7212562","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dramashewrites",0,FALSE,FALSE,NA,NA
"7","@SouthwestAir sent DM",FALSE,0,"SouthwestAir",2017-03-31 23:29:58,FALSE,"847951657061068800","847954153070628866","7212562","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Macravin",0,FALSE,FALSE,NA,NA
"8","@SouthwestAir had a good flight there &amp; back but your staff got some type of substance all over my child's car seat… https://t.co/nzNGITigkE",FALSE,0,"SouthwestAir",2017-03-31 23:26:13,TRUE,NA,"847953205740875777","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jassislovely_",0,FALSE,FALSE,NA,NA
"9","@SouthwestAir Nooo! Y'all are awesome! Flying to Reno is environmentally the worst due to the Sierra Nevada Mountai… https://t.co/cxvIu4MKts",FALSE,0,"SouthwestAir",2017-03-31 23:21:37,TRUE,"847951610697334784","847952050843336705","7212562","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cranberrylove",0,FALSE,FALSE,NA,NA
"10","Lunch on @southwestair certainly comes with a view. <ed><U+00A0><U+00BD><ed><U+00B2><U+009B><U+2601><U+FE0F><U+2708><U+FE0F>
.
.
.
.
#southwest #fly #flying #view… https://t.co/1z8aRoL0No",FALSE,1,NA,2017-03-31 23:19:29,FALSE,NA,"847951511338536962",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","dreswain",0,FALSE,FALSE,NA,NA
"11","@amyvandyken @SouthwestAir @CokeZero Way to go SouthWest!!  Glad all went well Amy!",FALSE,1,"amyvandyken",2017-03-31 23:15:55,FALSE,"847901301560164352","847950616496406529","49495067","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","proorganizing",0,FALSE,FALSE,NA,NA
"12","@SouthwestAir All is good. Appreciate your help!!!",FALSE,0,"SouthwestAir",2017-03-31 23:14:13,FALSE,"847949228714319872","847950186039083009","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ColLuisToro",0,FALSE,FALSE,NA,NA
