"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Came home to the best G-ma swag from @SouthwestAir for the newest addition to the family -- newest SW passenger com… https://t.co/1HG6PUhgp8",FALSE,0,NA,2017-03-24 23:59:57,TRUE,NA,"845424981320368132",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ProfNichols",0,FALSE,FALSE,NA,NA
"2","Flight to Austin this afternoon was . Crew on 1163 was fun. Thanks again @SouthwestAir",FALSE,2,NA,2017-03-24 23:59:56,FALSE,NA,"845424975330918400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lakebrahlands",0,FALSE,FALSE,NA,NA
"3","@SouthwestAir We were told that we would be able to make the connection, they were waiting for us. Complete lies! What's wrong with SW?",FALSE,0,"SouthwestAir",2017-03-24 23:59:46,FALSE,NA,"845424935229100033","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peteditty",0,FALSE,FALSE,NA,NA
"4","@SouthwestAir Suppose to leave at 6:45, arrived at 6:35 but was told by the service agent that the doors were locked. I am fed up with this",FALSE,0,"SouthwestAir",2017-03-24 23:58:41,FALSE,NA,"845424663694098432","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peteditty",0,FALSE,FALSE,NA,NA
"5","@SouthwestAir this is a waste of money- and to watch your flight attendants also save seats is disappointing",FALSE,0,"kcrane81",2017-03-24 23:58:36,FALSE,"845424456080277504","845424641745276928","276288307","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kcrane81",0,FALSE,FALSE,NA,NA
"6","@SouthwestAir b grouping on early bird- means family's get to board before you.  Then 6 rows all saved for C group. Your staffed approved!",FALSE,0,"SouthwestAir",2017-03-24 23:57:52,FALSE,NA,"845424456080277504","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kcrane81",0,FALSE,FALSE,NA,NA
"7","@SouthwestAir YOUR AIRLINE IS TERRIBLE! 3 time in 2 months that YOUR pilot arrived late &amp; missed the connection",FALSE,0,"SouthwestAir",2017-03-24 23:57:28,FALSE,NA,"845424355773480975","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peteditty",0,FALSE,FALSE,NA,NA
"8","I just entered to #win passes to see @LittleMix on the @SouthwestAIR #SoundStage from @PowerATL https://t.co/N4kG1AGHLD",FALSE,4,NA,2017-03-24 23:54:40,FALSE,NA,"845423650954231809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","meghanw6692",1,FALSE,FALSE,NA,NA
"9","@msphinguyen We're pretty stoked too! Glad to hear you enjoy it! ^VP",FALSE,1,"msphinguyen",2017-03-24 23:52:17,FALSE,"845422225469648896","845423050791108608","564264802","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","SouthwestAir",0,FALSE,FALSE,NA,NA
"10","@SouthwestAir Kudos to Bryan @ TPA curbside for his great cust. service. Greeted my LAX team immediately got tix and 30 bags tagged.Thanks!",FALSE,0,"SouthwestAir",2017-03-24 23:51:57,FALSE,NA,"845422966280261632","7212562","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cfinch5",0,FALSE,FALSE,NA,NA
"11","@Pacers @SouthwestAir @HardlieASecret @ej_kinney @Thomas_OFarrell that's so many points!!!",FALSE,3,"Pacers",2017-03-24 23:51:47,FALSE,"845419749999869954","845422927814234114","19409270","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","isaacsmith1",0,FALSE,FALSE,NA,NA
"12","@josephbergphoto Thanks for sharing the great shot, Joseph! We look forward to capturing more memories with you in the future. -Tevyn",FALSE,0,"josephbergphoto",2017-03-24 23:51:29,FALSE,"845421600883269632","845422849040920576","3926126652","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","SouthwestAir",0,FALSE,FALSE,NA,NA
"13","@SouthwestAir kudos to Travis in Customer Relations for helping with a upgrade issue.  Professional and friendly. <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><U+2764><U+FE0F>",FALSE,0,"SouthwestAir",2017-03-24 23:51:09,FALSE,NA,"845422767591882752","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","davess",0,FALSE,FALSE,NA,NA
"14","@SouthwestAir but your phone support people are worthless and couldn't come up with anything. Also my bag got lost so awful experience",FALSE,0,"SouthwestAir",2017-03-24 23:50:46,FALSE,"845275333884493825","845422670619467777","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bsmith3419",0,FALSE,FALSE,NA,NA
"15","@jodiesaywha Ever been to Jamaica, Jodie? DM us w/ #SWAgift for a special treat to help you get away! ^SC",FALSE,0,"jodiesaywha",2017-03-24 23:50:12,FALSE,"845420239127023616","845422528126504960","1289362800","<a href=""http://www.socialcentiv.com"" rel=""nofollow"">SocialCentiv</a>","SouthwestAir",0,FALSE,FALSE,NA,NA
"16","@SouthwestAir well gate agent got us to San Diego. Routes through St. Louis of all places and means a long day. She did good to help",FALSE,0,"SouthwestAir",2017-03-24 23:50:09,FALSE,"845275333884493825","845422515195265024","7212562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bsmith3419",0,FALSE,FALSE,NA,NA
"17","@Pacers @SouthwestAir 50,000 miles? What a joke #delta4life",FALSE,0,"Pacers",2017-03-24 23:49:29,FALSE,"845419749999869954","845422347263885312","19409270","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","legalizethebet",0,FALSE,FALSE,NA,NA
"18","@buckets31mcs just won 50,000 @SouthwestAir reward pts for his row #SCtop10 #pacersgamenight #31ForReggie https://t.co/hERJQ63ELa",FALSE,4,"buckets31mcs",2017-03-24 23:49:25,FALSE,NA,"845422332432781315","54899898","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chelsl308",3,FALSE,FALSE,NA,NA
"19","News flash: @SouthwestAir now serves bubbles! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BE><ed><U+00A0><U+00BC><ed><U+00BD><U+00BE><ed><U+00A0><U+00BC><ed><U+00BD><U+00BE> @lookatlauren https://t.co/5iu60YadVv",FALSE,2,NA,2017-03-24 23:49:00,FALSE,NA,"845422225469648896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","msphinguyen",0,FALSE,FALSE,NA,NA
"20","Fuck @SouthwestAir for such a cheap ass promo https://t.co/4zAlcIFjpZ",FALSE,1,NA,2017-03-24 23:48:29,FALSE,NA,"845422094640975876",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","legalizethebet",0,FALSE,FALSE,NA,NA
"21","@grahamelliot @SouthwestAir nice",FALSE,0,"grahamelliot",2017-03-24 23:48:20,FALSE,"845352813576126466","845422059060690944","18791048","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","frank01248",0,FALSE,FALSE,NA,NA
"22","@ScottAgness @SouthwestAir Wish I was sitting in his row!! That shot was awesome!",FALSE,0,"ScottAgness",2017-03-24 23:48:14,FALSE,"845418729538289664","845422030962987009","20950240","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jenn_hart81",0,FALSE,FALSE,NA,NA
"23","@SouthwestAir Well at least https://t.co/2XA0nP2uNd works",FALSE,0,"SouthwestAir",2017-03-24 23:48:05,FALSE,"845410807223500800","845421996271898624","7212562","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","p3dromig",0,FALSE,FALSE,NA,NA
"24","I just entered to #win passes to see @LittleMix on the @SouthwestAIR #SoundStage from @PowerATL https://t.co/vU2DhW6gOG",FALSE,3,NA,2017-03-24 23:47:13,FALSE,NA,"845421778423992321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fastcarbieber",2,FALSE,FALSE,NA,NA
"25","I just entered to #win passes to see @LittleMix on the @SouthwestAIR #SoundStage from @PowerATL https://t.co/JK9eJuIxsK",FALSE,2,NA,2017-03-24 23:47:05,FALSE,NA,"845421744978583552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaureguisdime",1,FALSE,FALSE,NA,NA
"26","Southwest Airlines 1759 Nashville - Houston 5:50 AM

@southwestair #southwestairlines #nas… https://t.co/4RKeC6GDDP https://t.co/0diZx120eM",FALSE,1,NA,2017-03-24 23:46:31,FALSE,NA,"845421600883269632",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","josephbergphoto",0,FALSE,FALSE,NA,NA
"27","@Pacers @SouthwestAir seen that a time or two @buckets31mcs",FALSE,4,"Pacers",2017-03-24 23:45:32,FALSE,"845419749999869954","845421351737405441","19409270","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Wh1teMamba",1,FALSE,FALSE,NA,NA
"28","Many upset United Airlines customers. They offer free Direct TV to make up for it. @SouthwestAir displays TVAds. Who wins?",FALSE,0,NA,2017-03-24 23:44:46,FALSE,NA,"845421161370603538",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MegaMikeJr",0,FALSE,FALSE,NA,NA
"29","@jepoole You're welcome! ^JB",FALSE,0,"jepoole",2017-03-24 23:44:26,FALSE,"845420774693462016","845421075861143552","14164342","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","SouthwestAir",0,FALSE,FALSE,NA,NA
"30","@Pacers @SouthwestAir Probably should sign him",FALSE,0,"Pacers",2017-03-24 23:44:07,FALSE,"845419749999869954","845420997767581698","19409270","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","rnd2it",0,FALSE,FALSE,NA,NA
