"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#BREAKINGNEWS: @spiritairlines will begin charging $2fee for oxygen.  First 1hr free for domestic flights. Oxygen during takeoff free.",FALSE,1,NA,2017-03-31 23:54:45,FALSE,NA,"847960388494819328",NA,"<a href=""http://www.tweetings.net"" rel=""nofollow"">Tweetings for Android</a>","iambussey",0,FALSE,FALSE,NA,NA
"2",".@SpiritAirlines never ceases to surprise me. https://t.co/Fuzj99ChCV",FALSE,0,NA,2017-03-31 22:50:26,FALSE,NA,"847944203426516997",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KaitlynHDoyle",0,FALSE,FALSE,NA,NA
"3","@briankrebs @SpiritAirlines Aren't Phishing emails also sent as 'test' emails especially when you're unsecured mail server is breached",FALSE,0,"briankrebs",2017-03-31 21:58:31,FALSE,"847852317038784512","847931136110211074","22790881","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","doctortechie",0,FALSE,FALSE,NA,NA
"4","@WilsonCalvert @JillianMarisaa That's next! Loooove me some @SpiritAirlines BFS. Best affordable seat in the US",FALSE,0,"WilsonCalvert",2017-03-31 21:46:26,FALSE,"847927045309050881","847928098121285633","351325426","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","user47",0,FALSE,FALSE,NA,NA
"5","@iopflygirl @SpiritAirlines You know my thoughts on the matter.",FALSE,0,"iopflygirl",2017-03-31 20:14:15,FALSE,"847902172998184965","847904896124948480","35344026","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","benmarks",0,FALSE,FALSE,NA,NA
"6","@daZhangerBanger Came within a minute of missing a @SpiritAirlines flight while pooping on my 21st birthday to Chic… https://t.co/a8NMwFSa2e",FALSE,1,"daZhangerBanger",2017-03-31 19:51:35,TRUE,"847816157834989568","847899192718753792","581197383","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","markfcarot",0,FALSE,FALSE,NA,NA
"7","@SpiritAirlines LAMBASTIC savings in March!!!",FALSE,0,"SpiritAirlines",2017-03-31 19:13:51,FALSE,NA,"847889696764170241","21964954","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alkire4u",0,FALSE,FALSE,NA,NA
"8","@SpiritAirlines I'm flying w/ u for the @ScienceMarchDC. Does a protest sign count as a personal item or can I bring both w/o extra charges?",FALSE,0,"SpiritAirlines",2017-03-31 19:01:17,FALSE,NA,"847886533076160514","21964954","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jessoquendo87",0,FALSE,FALSE,NA,NA
"9","Never again will you get me @SpiritAirlines never. again.",FALSE,2,NA,2017-03-31 17:53:35,FALSE,NA,"847869497587503104",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SeauxCocoa",0,FALSE,FALSE,NA,NA
"10","@user47 @JillianMarisaa @KCIAirport @SpiritAirlines @DTWeetin Where are you people??",FALSE,0,"user47",2017-03-31 17:15:07,FALSE,"847843542965813248","847859818979373056","15906000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Scottykagarice",0,FALSE,FALSE,NA,NA
"11","Boy must the social media interns at @SpiritAirlines be embarrassed <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9> https://t.co/zWYTU6fPRq",FALSE,0,NA,2017-03-31 16:47:56,FALSE,NA,"847852974797991936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NearPup",0,FALSE,FALSE,NA,NA
"12","Customers of @SpiritAirlines aren't buying the company's explanation about an odd email sent yesterday https://t.co/9cEpeY91on",FALSE,30,NA,2017-03-31 16:45:19,FALSE,NA,"847852317038784512",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","briankrebs",26,FALSE,FALSE,NA,NA
"13","@SpiritAirlines worst airlines ever! Never again",FALSE,0,"SpiritAirlines",2017-03-31 16:13:50,FALSE,NA,"847844392782241792","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miryavonrep",0,FALSE,FALSE,NA,NA
"14","Is @SpiritAirlines drunk again? https://t.co/dwtszVFkwD",FALSE,0,NA,2017-03-31 15:45:03,FALSE,NA,"847837151110864899",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SincerelyFefy",0,FALSE,FALSE,NA,NA
"15","@juddDAstud @SpiritAirlines Let's just say I wrote @SpiritAirlines a 7 page letter outlining my frustrations, based… https://t.co/lU1J3kfTTt",FALSE,1,"jstu402",2017-03-31 15:25:00,TRUE,"847831724948115458","847832105211936769","489990036","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Street_Crtified",0,FALSE,FALSE,NA,NA
