"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Delta perfect! Thank you!!",FALSE,0,"Delta",2017-03-16 23:59:01,FALSE,"842484958719606785","842525641702494209","5920532","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","meagryanne",0,FALSE,FALSE,NA,NA
"2","STEM-Con 2017: We had fun exploring microscopy, materials science, and biomimicry with students from Delta and... https://t.co/XqEPah2vvp",FALSE,0,NA,2017-03-16 23:58:17,FALSE,NA,"842525457455112192",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Collab_stem",0,FALSE,FALSE,NA,NA
"3","Delayed @delta flight means 17 min to make connection between C and G gates in MSP...any bets on whether I'll make it? I don't have heels on",FALSE,36,NA,2017-03-16 23:57:28,FALSE,NA,"842525252974530562",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thattracysmith",1,FALSE,FALSE,NA,NA
"4","@Delta thanks to delta customer service for really helping me out of a bind and getting me home.",FALSE,0,"Delta",2017-03-16 23:56:54,FALSE,NA,"842525109474725889","5920532","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","melaniegalemma",0,FALSE,FALSE,NA,NA
"5","@MFMagnus ninja storm? galaxy? space patrol delta? wildforce?",FALSE,0,"MFMagnus",2017-03-16 23:55:38,FALSE,"842520156668477440","842524793559769092","433942543","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Grow870",0,FALSE,FALSE,NA,NA
"6","@Delta follow the thread",FALSE,0,"Delta",2017-03-16 23:55:34,FALSE,"842524062463262720","842524774639321088","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AndyUzick",0,FALSE,FALSE,NA,NA
"7","How much does delta sonic charge for detailing and shampooing I need ny car cleaned inside out",FALSE,0,NA,2017-03-16 23:54:59,FALSE,NA,"842524626752356354",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Msdavis2Them",0,FALSE,FALSE,NA,NA
"8","Man charged with kicking, yelling at Muslim Delta employee @CNN https://t.co/GxmHHwv7Fa",FALSE,0,NA,2017-03-16 23:54:45,FALSE,NA,"842524571039424512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ms_belle1",0,FALSE,FALSE,NA,NA
"9","First Class to London...the only way to fly!<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> @delta",FALSE,7,NA,2017-03-16 23:54:32,FALSE,NA,"842524516295327744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlzieG",0,FALSE,FALSE,NA,NA
"10","Smart Money Buying the Price Weakness of #Delta Air Lines, Inc. (DAL) - Energy Index : https://t.co/GGGEn90iTI",FALSE,0,NA,2017-03-16 23:54:14,FALSE,NA,"842524442060247040",NA,"<a href=""http://www.flight.org"" rel=""nofollow"">Delta</a>","DeltaAirNews",0,FALSE,FALSE,NA,NA
"11","Man charged with kicking, yelling at Muslim Delta employee https://t.co/GFBAGRtYuA",FALSE,0,NA,2017-03-16 23:52:58,FALSE,NA,"842524119249895424",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","iSupportInt",0,FALSE,FALSE,NA,NA
