"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@delta that was not humorous at all. Also not sure why u would ever get rid of ur old amazingly funny safety video.… https://t.co/JacHq8lQ5u",FALSE,0,"Delta",2017-04-01 23:59:52,TRUE,NA,"848324062954872833","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SPLICK13",0,FALSE,FALSE,NA,NA
"2","@Delta We haven't started boarding - we're going to leave in 5?",FALSE,0,"Delta",2017-04-01 23:59:19,FALSE,"848323685534531584","848323926338015232","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aimee_Lucas",0,FALSE,FALSE,NA,NA
"3","@Delta @DeltaAssist the app wont let me check for upgrades on my Sea - Ams flight for tomorrow. can you help?",FALSE,0,"Delta",2017-04-01 23:58:49,FALSE,NA,"848323798495449089","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BramSniekers",0,FALSE,FALSE,NA,NA
"4","Fantastic article in @Delta April Sky magazine about the work ethic of GenZ. GenX parents sounds like we're doing p… https://t.co/URWxXJPbH3",FALSE,2,NA,2017-04-01 23:58:29,TRUE,NA,"848323715389689857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","perry_brubaker",0,FALSE,FALSE,NA,NA
"5",".@Delta All we have been hearing is ""5 minutes"" for the last 25.",FALSE,1,"Aimee_Lucas",2017-04-01 23:57:51,FALSE,"848323350355210241","848323556018708480","111729901","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aimee_Lucas",0,FALSE,FALSE,NA,NA
"6","Hey @Delta what's the deal with 1941? 7:56 ... 8:05 departure time. Not yet boarding. No delay posted.",FALSE,1,NA,2017-04-01 23:57:02,FALSE,NA,"848323350355210241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aimee_Lucas",0,FALSE,FALSE,NA,NA
"7","@Delta A plane is coming? Just want to make sure that we won't find out at 8 there is no plane. Gate agent said she… https://t.co/XmjkhZfPoU",FALSE,0,"Delta",2017-04-01 23:56:32,TRUE,"848322573616254976","848323224949506048","5920532","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Gaia_and_Clio",0,FALSE,FALSE,NA,NA
"8","@patbirdies @missyvoronyak @ZPGIFs @Delta @DeltaAssist Heaven forbid you be a respectful human for 3 hrs on a plane… https://t.co/qVXLv6KSoU",FALSE,2,"patbirdies",2017-04-01 23:55:57,TRUE,"848321879995813889","848323079856062464","793846291","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Megz_MN",0,FALSE,FALSE,NA,NA
"9","@Delta need help wanting to switch a date on an already purchased flight schedule to leave on 4/16 but want to leave 4/17 FLL to CID",FALSE,0,"Delta",2017-04-01 23:55:53,FALSE,NA,"848323060432285700","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JamarcoClark",0,FALSE,FALSE,NA,NA
"10","Heading to #ams via @delta - #thanks (@ Minneapolis–Saint Paul International Airport) https://t.co/wGplZgegca https://t.co/lwH1xdIh6Q",FALSE,8,NA,2017-04-01 23:55:26,FALSE,NA,"848322948251492352",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","Bryankorourke",6,FALSE,FALSE,"-93.21072638","44.88346098"
"11","@Delta My 2 friends said theirs will be delivered by 11 pm tonight.  Mine has been lost 2 times and no one can give… https://t.co/UXa92rpYP4",FALSE,0,"Delta",2017-04-01 23:54:21,TRUE,"848321305162207233","848322676833878018","5920532","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dws216",0,FALSE,FALSE,NA,NA
"12","@Delta Yes.  Friday morning.  They told me the baggage would be received at 2 pm and then delivered a few hours lat… https://t.co/nk69dHakdt",FALSE,0,"Delta",2017-04-01 23:53:26,TRUE,"848321305162207233","848322444809166848","5920532","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dws216",0,FALSE,FALSE,NA,NA
"13","Just about to jump on this flight to PDX and the game is tied at 65? @Delta there better be satellite tv on this flight! #marchmadness",FALSE,6,NA,2017-04-01 23:52:00,FALSE,NA,"848322083255836673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bayner",0,FALSE,FALSE,NA,NA
"14","@missyvoronyak @ZPGIFs @Delta @DeltaAssist I mean peanut allergies are really annoying and I think most people thought it was funny",FALSE,2,"missyvoronyak",2017-04-01 23:51:11,FALSE,"848202723417829377","848321879995813889","40596763","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","patbirdies",0,FALSE,FALSE,NA,NA
"15","@BroadcastNews5 @missyvoronyak @Delta @DeltaAssist I lose sleep on the regs cuz of them",FALSE,0,"BroadcastNews5",2017-04-01 23:51:00,FALSE,"848321571097722880","848321832478543872","4827236173","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ZPGIFs",0,FALSE,FALSE,NA,NA
"16","@Delta What's going on with flight 7429 SLC to PIH, should I hop on the bus?",FALSE,0,"Delta",2017-04-01 23:50:59,FALSE,NA,"848321826547679232","5920532","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Gaia_and_Clio",0,FALSE,FALSE,NA,NA
"17","@Delta how can I get my daughter's left behind kindle back? Left on DL5155 on 4/1/17. No April Fool joke.",FALSE,0,"Delta",2017-04-01 23:49:10,FALSE,NA,"848321372828958721","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pweting",0,FALSE,FALSE,NA,NA
