"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Because I saw my parents doing the work of teachers outside of school, I knew being a teacher meant more than instruction.",FALSE,0,"delta_dc",2017-03-26 20:13:24,FALSE,"845983684473880576","846092744422543363","232057245","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","delta_dc",0,FALSE,FALSE,NA,NA
"2","@jamesonjjordan  Glad to hear this, Jameson! We are here if you need anything.  *MA",FALSE,0,"jamesonjjordan",2017-03-26 20:13:22,FALSE,"846077886654283776","846092736231100417","26271042","<a href=""http://www.sparkcentral.com"" rel=""nofollow"">Sparkcentral.com</a>","Delta",0,FALSE,FALSE,NA,NA
"3","@claytonhickman Because SOMETHING good has to come from Delta And The Bannermen.",FALSE,0,"claytonhickman",2017-03-26 20:13:18,FALSE,"846069640421937152","846092719709720576","19911928","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EalaDubh",0,FALSE,FALSE,NA,NA
"4","@sonyaross1021 @CNN  NO: since @Delta and @SouthwestAir  don't have a problem w leggings.",FALSE,0,"sonyaross1021",2017-03-26 20:13:12,FALSE,"846082290727841792","846092693570813954","1349609293","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vet4democracy",0,FALSE,FALSE,NA,NA
"5","and pass riders have a dress code. I remember flying Delta in 2011 with an employee non-rev pass and I had follow rules ( though they",FALSE,0,"Victoryoftheppl",2017-03-26 20:13:07,FALSE,"846092297125220352","846092674889404416","25344641","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Victoryoftheppl",0,FALSE,FALSE,NA,NA
"6","Photos From The Wedding Ceremony Of The Man Who Married Two Wives In Delta State  music first https://t.co/BhUIAzaXoN",FALSE,0,NA,2017-03-26 20:12:59,FALSE,NA,"846092639246172160",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","eibswagg",0,FALSE,FALSE,NA,NA
"7","@Delta thanks for responding! Letting your staff be trained on discrimination on disability and legal consequences would be good start.",FALSE,0,"Delta",2017-03-26 20:12:59,FALSE,"846063480763535360","846092638189178882","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theFourier2k",0,FALSE,FALSE,NA,NA
"8","I added a video to a @YouTube playlist https://t.co/ep43VHu9y4 Delta Heavy - Get By (Official Video)",FALSE,0,NA,2017-03-26 20:12:49,FALSE,NA,"846092596548009984",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","AkiraClaymore",0,FALSE,FALSE,NA,NA
"9","I liked a @YouTube video from @ukf https://t.co/ep43VHu9y4 Delta Heavy - Get By (Official Video)",FALSE,0,NA,2017-03-26 20:12:46,FALSE,NA,"846092584820756480",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","AkiraClaymore",0,FALSE,FALSE,NA,NA
"10","@UserExperienceY We appreciate your feedback.  *RS",FALSE,0,"UserExperienceY",2017-03-26 20:12:40,FALSE,"846078087695523840","846092557813714944","812466689656832001","<a href=""http://www.sparkcentral.com"" rel=""nofollow"">Sparkcentral.com</a>","Delta",0,FALSE,FALSE,NA,NA
"11","I love how @Delta handles their social media. I had a problem and they addressed it immediately. Great service! Thanks!",FALSE,0,NA,2017-03-26 20:12:34,FALSE,NA,"846092535042899972",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stephenshapiro",0,FALSE,FALSE,NA,NA
"12","Don't you guys know that leggings are the most comfortable thing to wear while traveling? This is blowing my mind.… https://t.co/nkNET7OSB3",FALSE,0,NA,2017-03-26 20:12:34,TRUE,NA,"846092534514364418",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LauraMRosenberg",0,FALSE,FALSE,NA,NA
"13","O K A V A N G O
An epic sunrise  captured deep in the Okavango Delta in Botswana. Probably one… https://t.co/Il5HjdELNY",FALSE,0,NA,2017-03-26 20:12:23,FALSE,NA,"846092486670008320",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MARIO_photos",0,FALSE,FALSE,"23.16666667","-19.16666667"
"14","@UserExperienceY On behalf of *JP you're very welcome!  *RS",FALSE,0,"UserExperienceY",2017-03-26 20:12:21,FALSE,"846078087695523840","846092480684703744","812466689656832001","<a href=""http://www.sparkcentral.com"" rel=""nofollow"">Sparkcentral.com</a>","Delta",0,FALSE,FALSE,NA,NA
"15","GENTLEMAN: 
You have until Tuesday, March 28th to apply to be Xi Hero... so get your applications in quick<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BE><ed><U+00B4><U+00B4><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>
https://t.co/DJ5FsazxvK",FALSE,0,NA,2017-03-26 20:12:09,FALSE,NA,"846092427467239424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alyssadene4",0,FALSE,FALSE,NA,NA
"16","@Greytdog @MattWalshBlog They were flying on employee passes. I believe Delta has the same policy for pass holders.",FALSE,0,"Greytdog",2017-03-26 20:12:08,FALSE,"846089920334716929","846092425085042688","17141349","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IrishAnniemae",0,FALSE,FALSE,NA,NA
"17","Excited to wear my new sexy leggings on my @Delta flight tomorrow. Suck it @United!",FALSE,1,NA,2017-03-26 20:12:02,FALSE,NA,"846092401768771584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Adam_Newman",0,FALSE,FALSE,NA,NA
"18","@Delta @JetBlue you guys seeing this? Don't repeat their mistakes https://t.co/AyPfXSZfgP",FALSE,0,"Delta",2017-03-26 20:12:02,FALSE,NA,"846092401068457984","5920532","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cdizzlefosniz",0,FALSE,FALSE,NA,NA
"19","@Delta i'm going to Cuba in a few days. Will my carry-on bag, if it fits the requirements, be checked?",FALSE,0,"Delta",2017-03-26 20:11:43,FALSE,NA,"846092318562308097","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lilsriver",0,FALSE,FALSE,NA,NA
"20","Can you recommend anyone for this #job in #Atlanta, GA? https://t.co/WCks2JymGw #Aviation #Hiring",FALSE,0,NA,2017-03-26 20:11:37,FALSE,NA,"846092293559861248",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_atl_aero",0,FALSE,FALSE,"-84.3879824","33.7489954"
"21","Dear @officialEFCC
one James Onanefe Ibori who was convicted in UK for laundering Delta State's money is back
find him

#WhistleBlowing",FALSE,0,NA,2017-03-26 20:11:30,FALSE,NA,"846092267450437634",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nafeezi",0,FALSE,FALSE,NA,NA
"22","Enter to win a Delta Vacations trip to visit the set of When Calls the Heart to meet the cast!  https://t.co/XpnMXrF1AB",FALSE,0,NA,2017-03-26 20:11:26,FALSE,NA,"846092249142243329",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","trublueeys",0,FALSE,FALSE,NA,NA
